ano,material,residuo_gerado_ton,quantidade_reciclada_ton,rejeito_ton,taxa_reciclagem_pct,economia_gerada_brl,co2_evitado_kg
2015,Plástico,87454.01,14300.61,73153.41,16.35,28601210.02,21450907.52
2015,Papel/Papelão,123199.39,81659.71,41539.68,66.28,40829856.37,73493741.46
2015,Vidro,65601.86,27489.77,38112.09,41.9,8246931.83,8246931.83
2015,Metal,55808.36,41926.85,13881.51,75.13,209634247.69,75468329.17
2015,Orgânico,110111.5,40142.81,69968.69,36.46,8028561.66,20071404.14
2015,Eletrônico,52058.45,11390.2,40668.25,21.88,170853015.25,22780402.03
2016,Plástico,133244.26,19401.87,113842.4,14.56,38803735.3,29102801.47
2016,Papel/Papelão,68182.5,42757.78,25424.72,62.71,21378889.94,38482001.88
2016,Vidro,80424.22,37461.2,42963.03,46.58,11238358.57,11238358.57
2016,Metal,93194.5,64387.64,28806.86,69.09,321938189.6,115897748.26
2016,Orgânico,111185.29,37192.31,73992.98,33.45,7438462.81,18596157.02
2016,Eletrônico,79214.46,15882.03,63332.43,20.05,238230502.01,31764066.93
2017,Plástico,95607.0,16068.53,79538.46,16.81,32137067.9,24102800.93
2017,Papel/Papelão,69967.38,48344.76,21622.61,69.1,24172382.5,43510288.5
2017,Vidro,109241.46,47381.45,61860.01,43.37,14214434.01,14214434.01
2017,Metal,110754.49,76764.57,33989.91,69.31,383822869.21,138176232.91
2017,Orgânico,56505.16,22845.45,33659.71,40.43,4569089.76,11422724.39
2017,Eletrônico,146563.2,32987.87,113575.34,22.51,494817997.77,65975733.04
2018,Plástico,80461.38,12096.88,68364.5,15.03,24193750.89,18145313.17
2018,Papel/Papelão,118423.3,82898.63,35524.67,70.0,41449316.97,74608770.55
2018,Vidro,62203.82,30481.54,31722.28,49.0,9144463.2,9144463.2
2018,Metal,53438.85,44111.76,9327.09,82.55,220558787.09,79401163.35
2018,Orgânico,75878.0,29888.38,45989.62,39.39,5977675.53,14944188.82
2018,Eletrônico,81171.11,17766.32,63404.78,21.89,266494850.93,35532646.79
2019,Plástico,104671.03,16476.38,88194.65,15.74,32952765.32,24714573.99
2019,Papel/Papelão,146958.46,112872.82,34085.64,76.81,56436409.9,101585537.81
2019,Vidro,143949.89,78279.75,65670.14,54.38,23483925.14,23483925.14
2019,Metal,109790.0,93337.95,16452.04,85.01,466689767.65,168008316.35
2019,Orgânico,58849.25,21666.24,37183.01,36.82,4333247.5,10833118.76
2019,Eletrônico,54522.73,11786.44,42736.29,21.62,176796599.24,23572879.9
2020,Plástico,88867.73,14628.65,74239.08,16.46,29257307.73,21942980.8
2020,Papel/Papelão,132873.75,96477.59,36396.16,72.61,48238793.63,86829828.53
2020,Vidro,78093.45,40758.46,37334.99,52.19,12227537.8,12227537.8
2020,Metal,64092.42,54712.73,9379.69,85.37,273563672.49,98482922.1
2020,Orgânico,57455.06,25377.58,32077.48,44.17,5075516.02,12688790.05
2020,Eletrônico,127224.48,27498.42,99726.06,21.61,412476234.93,54996831.32
2021,Plástico,50552.21,9512.27,41039.94,18.82,19024549.87,14268412.4
2021,Papel/Papelão,120685.73,96805.61,23880.12,80.21,48402805.93,87125050.68
2021,Vidro,127127.03,61753.68,65373.36,48.58,18526103.59,18526103.59
2021,Metal,85846.57,65461.58,20384.99,76.25,327307901.63,117830844.59
2021,Orgânico,136310.34,57684.41,78625.93,42.32,11536882.8,28842206.99
2021,Eletrônico,83089.8,17897.54,65192.26,21.54,268463094.66,35795079.29
2022,Plástico,81098.23,14204.69,66893.54,17.52,28409384.59,21307038.44
2022,Papel/Papelão,122960.62,99369.12,23591.5,80.81,49684560.99,89432209.78
2022,Vidro,138721.27,75113.99,63607.28,54.15,22534197.52,22534197.52
2022,Metal,61959.42,54717.83,7241.59,88.31,273589171.25,98492101.65
2022,Orgânico,126078.5,54048.62,72029.89,42.87,10809723.35,27024308.39
2022,Eletrônico,127096.72,30719.24,96377.48,24.17,460788592.24,61438478.97
2023,Plástico,102273.28,18747.16,83526.13,18.33,37494311.28,28120733.46
2023,Papel/Papelão,52541.91,39027.72,13514.2,74.28,19513858.78,35124945.8
2023,Vidro,53142.92,30462.76,22680.15,57.32,9138829.37,9138829.37
2023,Metal,81435.6,70807.26,10628.33,86.95,354036324.51,127453076.82
2023,Orgânico,140756.65,58025.32,82731.33,41.22,11605063.68,29012659.2
2023,Eletrônico,91038.29,23731.44,67306.85,26.07,355971562.17,47462874.96
2024,Plástico,72879.82,12709.0,60170.82,17.44,25417992.56,19063494.42
2024,Papel/Papelão,78975.15,60776.72,18198.43,76.96,30388357.87,54699044.17
2024,Vidro,142969.77,86742.35,56227.41,60.67,26022705.84,26022705.84
2024,Metal,113340.38,107673.36,5667.02,95.0,538366784.34,193812042.36
2024,Orgânico,130367.21,54315.68,76051.53,41.66,10863136.43,27157841.07
2024,Eletrônico,139255.9,35649.31,103606.59,25.6,534739701.57,71298626.88
2025,Plástico,130744.02,27514.76,103229.26,21.04,55029518.28,41272138.71
2025,Papel/Papelão,81800.35,63730.55,18069.8,77.91,31865275.27,57357495.49
2025,Vidro,72793.52,41963.4,30830.12,57.65,12589018.68,12589018.68
2025,Metal,131801.48,125211.4,6590.07,95.0,626057013.81,225380524.97
2025,Orgânico,50695.21,23115.9,27579.31,45.6,4623180.42,11557951.04
2025,Eletrônico,91741.1,22526.99,69214.11,24.55,337904865.74,45053982.1
